capt.index,surv.index,Year,ext.prob
1,1,2020,0
1,1,2021,0
1,1,2022,0
1,1,2023,0
1,1,2024,0
1,1,2025,0
1,1,2026,0
1,1,2027,0
1,1,2028,1e-04
1,1,2029,0
1,1,2030,1e-04
1,1,2031,1e-04
1,1,2032,1e-04
1,1,2033,2e-04
1,1,2034,2e-04
1,1,2035,4e-04
1,1,2036,9e-04
1,1,2037,0.0028
1,1,2038,0.0044
1,1,2039,0.0069
1,1,2040,0.0097
1,1,2041,0.0128
1,1,2042,0.0195
1,1,2043,0.0256
1,1,2044,0.0328
1,1,2045,0.0443
1,1,2046,0.0547
1,1,2047,0.0681
1,1,2048,0.0838
1,1,2049,0.1001
1,2,2020,0
1,2,2021,0
1,2,2022,0
1,2,2023,0
1,2,2024,0
1,2,2025,0
1,2,2026,0
1,2,2027,0
1,2,2028,1e-04
1,2,2029,1e-04
1,2,2030,1e-04
1,2,2031,2e-04
1,2,2032,2e-04
1,2,2033,4e-04
1,2,2034,8e-04
1,2,2035,9e-04
1,2,2036,0.002
1,2,2037,0.0034
1,2,2038,0.0056
1,2,2039,0.0083
1,2,2040,0.0128
1,2,2041,0.017
1,2,2042,0.0249
1,2,2043,0.0318
1,2,2044,0.0415
1,2,2045,0.0525
1,2,2046,0.0641
1,2,2047,0.0788
1,2,2048,0.0952
1,2,2049,0.1144
1,3,2020,0
1,3,2021,0
1,3,2022,0
1,3,2023,0
1,3,2024,0
1,3,2025,0
1,3,2026,0
1,3,2027,0
1,3,2028,0
1,3,2029,0
1,3,2030,0
1,3,2031,0
1,3,2032,0
1,3,2033,0
1,3,2034,1e-04
1,3,2035,5e-04
1,3,2036,0.0013
1,3,2037,0.0024
1,3,2038,0.003
1,3,2039,0.0045
1,3,2040,0.0071
1,3,2041,0.0101
1,3,2042,0.0137
1,3,2043,0.0188
1,3,2044,0.0268
1,3,2045,0.0337
1,3,2046,0.0432
1,3,2047,0.0544
1,3,2048,0.0665
1,3,2049,0.0852
1,4,2020,0
1,4,2021,0
1,4,2022,0
1,4,2023,0
1,4,2024,0
1,4,2025,0
1,4,2026,0
1,4,2027,0
1,4,2028,0
1,4,2029,0
1,4,2030,0
1,4,2031,0
1,4,2032,0
1,4,2033,0
1,4,2034,0
1,4,2035,2e-04
1,4,2036,5e-04
1,4,2037,5e-04
1,4,2038,5e-04
1,4,2039,0.0012
1,4,2040,0.0017
1,4,2041,0.0022
1,4,2042,0.0032
1,4,2043,0.0049
1,4,2044,0.0063
1,4,2045,0.0094
1,4,2046,0.0125
1,4,2047,0.0154
1,4,2048,0.019
1,4,2049,0.023
1,5,2020,0
1,5,2021,0
1,5,2022,0
1,5,2023,0
1,5,2024,0
1,5,2025,0
1,5,2026,0
1,5,2027,0
1,5,2028,0
1,5,2029,0
1,5,2030,0
1,5,2031,0
1,5,2032,1e-04
1,5,2033,3e-04
1,5,2034,2e-04
1,5,2035,3e-04
1,5,2036,7e-04
1,5,2037,0.0011
1,5,2038,0.0022
1,5,2039,0.0031
1,5,2040,0.0039
1,5,2041,0.0047
1,5,2042,0.0067
1,5,2043,0.0093
1,5,2044,0.0118
1,5,2045,0.0145
1,5,2046,0.0192
1,5,2047,0.0237
1,5,2048,0.0283
1,5,2049,0.0329
1,6,2020,0
1,6,2021,0
1,6,2022,0
1,6,2023,0
1,6,2024,0
1,6,2025,0
1,6,2026,0
1,6,2027,0
1,6,2028,0
1,6,2029,0
1,6,2030,0
1,6,2031,0
1,6,2032,0
1,6,2033,0
1,6,2034,0
1,6,2035,3e-04
1,6,2036,4e-04
1,6,2037,6e-04
1,6,2038,6e-04
1,6,2039,9e-04
1,6,2040,0.0016
1,6,2041,0.0019
1,6,2042,0.003
1,6,2043,0.0038
1,6,2044,0.0062
1,6,2045,0.0071
1,6,2046,0.0095
1,6,2047,0.0122
1,6,2048,0.0159
1,6,2049,0.0196
1,7,2020,0
1,7,2021,0
1,7,2022,0
1,7,2023,0
1,7,2024,0
1,7,2025,0
1,7,2026,0
1,7,2027,0
1,7,2028,0
1,7,2029,0
1,7,2030,0
1,7,2031,0
1,7,2032,0
1,7,2033,0
1,7,2034,1e-04
1,7,2035,1e-04
1,7,2036,3e-04
1,7,2037,3e-04
1,7,2038,4e-04
1,7,2039,4e-04
1,7,2040,4e-04
1,7,2041,4e-04
1,7,2042,5e-04
1,7,2043,7e-04
1,7,2044,9e-04
1,7,2045,0.0015
1,7,2046,0.0019
1,7,2047,0.0023
1,7,2048,0.0033
1,7,2049,0.0047
1,8,2020,0
1,8,2021,0
1,8,2022,0
1,8,2023,0
1,8,2024,0
1,8,2025,0
1,8,2026,0
1,8,2027,0
1,8,2028,0
1,8,2029,0
1,8,2030,0
1,8,2031,0
1,8,2032,0
1,8,2033,1e-04
1,8,2034,0
1,8,2035,2e-04
1,8,2036,2e-04
1,8,2037,3e-04
1,8,2038,4e-04
1,8,2039,7e-04
1,8,2040,9e-04
1,8,2041,9e-04
1,8,2042,0.0012
1,8,2043,0.0018
1,8,2044,0.0025
1,8,2045,0.0032
1,8,2046,0.0033
1,8,2047,0.0048
1,8,2048,0.0061
1,8,2049,0.0077
1,9,2020,0
1,9,2021,0
1,9,2022,0
1,9,2023,0
1,9,2024,0
1,9,2025,0
1,9,2026,0
1,9,2027,0
1,9,2028,0
1,9,2029,0
1,9,2030,0
1,9,2031,0
1,9,2032,0
