n.chicks.released.per.year,n.years.of.captive.releases,surv.improvement,time.lag.for.surv.imp,fut.pop.growth.rate,lcl,ucl
0,10,none,10,0.908330027,0,0.950095821
0,10,none,15,0.908330027,0,0.950173707
0,10,none,5,0.908330027,0,0.949235742
0,20,none,10,0.908330027,0,0.950276674
0,20,none,5,0.908330027,0,0.950637317
1,10,none,5,0.908330027,0,0.948786775
0,20,none,15,0.908341592,0,0.950175695
0,30,none,10,0.908341592,0,0.950078698
0,30,none,15,0.908341592,0,0.950184982
0,30,none,5,0.908341592,0,0.949190567
1,10,none,10,0.908341592,0,0.949553102
1,10,none,15,0.908341592,0,0.948975178
2,10,none,5,0.908498154,0,0.950702026
2,10,none,10,0.908511722,0,0.950762636
2,10,none,15,0.908524326,0,0.950738117
3,10,none,15,0.909040743,0,0.951845002
3,10,none,5,0.909045675,0,0.951479648
3,10,none,10,0.909144496,0,0.952422286
1,20,none,10,0.910012002,0,0.951834277
1,20,none,15,0.910099725,0,0.952267198
1,20,none,5,0.910138567,0,0.951372817
4,10,none,10,0.910614826,0,0.952805781
4,10,none,5,0.910692851,0,0.953006492
4,10,none,15,0.911008024,0,0.953106381
5,10,none,15,0.915206721,0,0.954507511
5,10,none,10,0.915257025,0,0.954559433
5,10,none,5,0.915286084,0,0.954787506
6,10,none,15,0.915404543,0,0.955037555
6,10,none,10,0.915406489,0,0.955000881
6,10,none,5,0.915418167,0,0.955064405
1,30,none,10,0.915658543,0,0.954255518
7,10,none,5,0.91567228,0,0.956653075
7,10,none,10,0.915701738,0,0.956616596
7,10,none,15,0.915725324,0,0.956659362
1,30,none,5,0.915823798,0,0.953867505
1,30,none,15,0.915829716,0,0.954543295
2,20,none,15,0.915995902,0,0.954826004
2,20,none,10,0.916029645,0,0.955028032
2,20,none,5,0.916055474,0,0.954961386
8,10,none,10,0.916669841,0,0.957882967
8,10,none,15,0.916863116,0,0.957399762
8,10,none,5,0.916927473,0,0.957698887
9,10,none,15,0.920327169,0,0.958670805
9,10,none,5,0.92062187,0,0.958531798
9,10,none,10,0.9207172,0,0.958646411
10,10,none,15,0.921109321,0,0.959371111
10,10,none,10,0.921119091,0,0.959923767
10,10,none,5,0.921130819,0,0.959109535
11,10,none,5,0.92125227,0,0.960255232
11,10,none,15,0.921264049,0,0.960290644
11,10,none,10,0.92128762,0,0.960205085
3,20,none,10,0.921289585,0.865356865,0.958544025
3,20,none,15,0.921321044,0.865324735,0.958519575
3,20,none,5,0.921336785,0.865236673,0.958468697
0,10,2%,15,0.921374203,0,0.963350839
0,20,2%,15,0.921374203,0,0.963338569
1,10,2%,15,0.921421533,0,0.963263059
0,30,2%,15,0.921459054,0,0.963250772
12,10,none,10,0.921807819,0,0.96128817
12,10,none,15,0.921832811,0,0.961757757
12,10,none,5,0.921858825,0,0.96145134
0,10,2%,10,0.922426572,0,0.964804819
0,20,2%,10,0.922658899,0,0.965019958
0,30,2%,10,0.922721631,0,0.964767218
1,10,2%,10,0.922968657,0,0.964037761
13,10,none,15,0.923196767,0.86530284,0.962079795
2,10,2%,15,0.923203039,0,0.963918666
13,10,none,10,0.92321559,0,0.961872144
13,10,none,5,0.923485831,0,0.961943495
14,10,none,5,0.925781811,0.865632473,0.96336516
2,30,none,15,0.925816913,0.86591937,0.959161496
14,10,none,15,0.925877462,0.865619748,0.963141449
1,10,2%,5,0.925911696,0,0.965775335
2,30,none,5,0.925944007,0.86581122,0.95906004
2,30,none,10,0.925950866,0.865908307,0.959717661
14,10,none,10,0.925965567,0.865654301,0.963246796
0,10,2%,5,0.925991067,0,0.966332028
0,20,2%,5,0.926002843,0,0.966321761
0,30,2%,5,0.926004806,0,0.966165025
3,10,2%,15,0.926016587,0,0.965058871
2,10,2%,10,0.926028373,0,0.965255529
4,20,none,5,0.926051959,0.866044521,0.961332102
4,20,none,10,0.926065725,0.866046319,0.961238026
4,20,none,15,0.926065725,0.86607774,0.961280899
15,10,none,5,0.92607753,0.865721708,0.96410715
1,20,2%,15,0.926079497,0.865710767,0.964855256
15,10,none,10,0.926089339,0.86575433,0.963560457
15,10,none,15,0.926101152,0.865778306,0.963889813
2,10,2%,5,0.926261081,0.865127474,0.966476205
4,10,2%,15,0.926308627,0.865608845,0.966855411
3,10,2%,10,0.926346319,0.865113228,0.96675079
1,20,2%,10,0.92659745,0.865789273,0.966284613
4,10,2%,10,0.927775328,0.865884498,0.967596489
3,10,2%,5,0.927912846,0.865756384,0.96813923
5,10,2%,15,0.92797451,0.86582403,0.967672517
1,20,2%,5,0.928304774,0.865952445,0.967716936
5,20,none,5,0.930052473,0.866682318,0.963943338
5,20,none,10,0.930150524,0.866992944,0.963918644
5,20,none,15,0.93021836,0.866682318,0.963556262
1,30,2%,15,0.930264653,0.866203443,0.966976803
4,10,2%,5,0.930290291,0.865913861,0.969031683
6,10,2%,15,0.930313976,0.865941416,0.969173001
5,10,2%,10,0.930327801,0.865862357,0.96910811
2,20,2%,15,0.930436638,0.866554377,0.968256563
1,30,2%,10,0.930547847,0.866485,0.96769942
5,10,2%,5,0.930609582,0.866114649,0.970177982
7,10,2%,15,0.930737423,0.866088822,0.970217143
3,30,none,15,0.930998734,0.886627664,0.963630377
6,10,2%,10,0.930998734,0.865998446,0.970410033
3,30,none,5,0.931047218,0.886646188,0.963771297
3,30,none,10,0.931125876,0.886524943,0.963642617
1,30,2%,5,0.931468563,0.866729214,0.969019401
2,20,2%,10,0.931507525,0.866695237,0.9694931
8,10,2%,15,0.932402866,0.866249985,0.970749833
6,20,none,10,0.932746658,0.877448186,0.966233306
6,10,2%,5,0.932774431,0.866238841,0.971409843
6,20,none,15,0.933124782,0.874936308,0.966233304
6,20,none,5,0.933165878,0.879571423,0.966120965
7,10,2%,10,0.933455569,0.866296463,0.971422226
2,20,2%,5,0.933924167,0.867265068,0.970713846
9,10,2%,15,0.934113996,0.866556255,0.972497599
8,10,2%,10,0.934125898,0.866484719,0.972552404
7,10,2%,5,0.934137806,0.866543116,0.972843682
10,10,2%,15,0.93450419,0.86707502,0.972906003
9,10,2%,10,0.934693557,0.867123133,0.973674298
3,20,2%,15,0.934737031,0.870788736,0.971282217
8,10,2%,5,0.934862742,0.867017686,0.97374847
7,20,none,15,0.935070665,0.887002968,0.968756895
7,20,none,10,0.935310886,0.886935207,0.968879214
7,20,none,5,0.935335629,0.886899454,0.968879214
3,20,2%,10,0.936790249,0.886456505,0.972559211
11,10,2%,15,0.936830906,0.868322981,0.974257806
1,10,4%,15,0.937116338,0.866886404,0.976800702
9,10,2%,5,0.937202939,0.867701059,0.97473658
10,10,2%,10,0.937287804,0.867677629,0.97477987
0,30,4%,15,0.937297687,0.866659699,0.977310606
0,10,4%,15,0.93731054,0.866612633,0.97687758
0,20,4%,15,0.937414543,0.866682082,0.97714227
2,30,2%,15,0.937452268,0.887063736,0.971471836
4,30,none,15,0.937499986,0.888530754,0.967733635
4,30,none,5,0.937499986,0.888826414,0.967788459
12,10,2%,15,0.937511927,0.869750615,0.974874971
3,20,2%,5,0.937511927,0.886790438,0.973696765
4,30,none,10,0.937513917,0.888739821,0.967672774
11,10,2%,10,0.937587658,0.87463908,0.975571494
10,10,2%,5,0.937611612,0.870776677,0.975826778
2,30,2%,10,0.937725785,0.887203906,0.972586005
2,10,4%,15,0.937858198,0.868255206,0.97798523
13,10,2%,15,0.93787229,0.886549357,0.975918199
8,20,none,15,0.937884374,0.887421883,0.970672001
8,20,none,10,0.937890417,0.887575322,0.970618373
8,20,none,5,0.93797403,0.887600668,0.970892349
12,10,2%,10,0.938304155,0.886582871,0.976312502
11,10,2%,5,0.938411979,0.886605283,0.976891775
4,20,2%,15,0.938859263,0.887099688,0.973976924
2,30,2%,5,0.93937553,0.887564054,0.973678326
14,10,2%,15,0.939807514,0.886732335,0.976889754
3,10,4%,15,0.940295693,0.870844741,0.979412273
13,10,2%,10,0.940330391,0.886745445,0.977873288
