parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[1,18]",0.979820934459615,0.955867992912908,1.00045200075564,1,18,0,10,none,5
"fut.lambda[2,18]",0.979828834917834,0.955372481038215,1.00001432259657,2,18,0,20,none,5
"fut.lambda[2,16]",0.980030108056189,0.955903632731804,1.00175615242804,2,16,0,20,none,10
"fut.lambda[3,17]",0.980034618964175,0.956770815559678,1.00096930146376,3,17,0,30,none,15
"fut.lambda[1,17]",0.980221729505233,0.956615242495811,0.998888048706811,1,17,0,10,none,15
"fut.lambda[3,18]",0.980224389402498,0.957213434145966,1.00094181541133,3,18,0,30,none,5
"fut.lambda[2,17]",0.98030933319898,0.957662917658084,1.00102143139722,2,17,0,20,none,15
"fut.lambda[3,16]",0.980395796997162,0.957414420296626,1.00044735033516,3,16,0,30,none,10
"fut.lambda[1,16]",0.980795776992036,0.956927418135575,1.0004104925407,1,16,0,10,none,10
"fut.lambda[4,16]",0.9815182025936,0.958190299525101,1.00215659753533,4,16,1,10,none,10
"fut.lambda[4,17]",0.981871730607031,0.957567385436467,1.00202109477271,4,17,1,10,none,15
"fut.lambda[4,18]",0.982365278093706,0.958831196933908,1.00082458202062,4,18,1,10,none,5
"fut.lambda[25,17]",0.982910955146748,0.961561535905024,1.00379502434972,25,17,2,10,none,15
"fut.lambda[25,18]",0.983298072819373,0.958363779638808,1.0042472769837,25,18,2,10,none,5
"fut.lambda[25,16]",0.98371966723117,0.960067960435619,1.00288554822487,25,16,2,10,none,10
"fut.lambda[5,16]",0.983764047459277,0.960978858879206,1.00426607120879,5,16,1,20,none,10
"fut.lambda[5,18]",0.984438855988512,0.961427013943883,1.0022022066547,5,18,1,20,none,5
"fut.lambda[5,17]",0.984525133036713,0.961509997226535,1.0020491755907,5,17,1,20,none,15
"fut.lambda[28,17]",0.984665687482556,0.963252942936011,1.00385199567708,28,17,3,10,none,15
"fut.lambda[28,18]",0.984724024137018,0.962580003734599,1.00507075419078,28,18,3,10,none,5
"fut.lambda[28,16]",0.985004749276225,0.961478090078979,1.0037327189003,28,16,3,10,none,10
"fut.lambda[31,17]",0.98544493274129,0.962697756701849,1.005983179225,31,17,4,10,none,15
"fut.lambda[6,16]",0.985720180028743,0.964242149327096,1.00450830465222,6,16,1,30,none,10
"fut.lambda[6,17]",0.98593250412921,0.963240054002298,1.00600255973975,6,17,1,30,none,15
"fut.lambda[6,18]",0.986018488469115,0.963003648424791,1.00420279875061,6,18,1,30,none,5
"fut.lambda[31,16]",0.986408450587277,0.962177301023961,1.00636427509733,31,16,4,10,none,10
"fut.lambda[31,18]",0.986882621340005,0.96458381728357,1.00505495218516,31,18,4,10,none,5
"fut.lambda[26,17]",0.986896292594384,0.9660816135408,1.00696780876699,26,17,2,20,none,15
"fut.lambda[26,16]",0.987157461201431,0.966922609683445,1.00624821740145,26,16,2,20,none,10
"fut.lambda[34,16]",0.98734092664674,0.965237103429371,1.00865721815688,34,16,5,10,none,10
"fut.lambda[34,18]",0.98762348537025,0.967073987306496,1.00609820394547,34,18,5,10,none,5
"fut.lambda[34,17]",0.98762564571298,0.964233666886543,1.00805095604632,34,17,5,10,none,15
"fut.lambda[26,18]",0.987771430023529,0.966047765161229,1.00725195845917,26,18,2,20,none,5
"fut.lambda[37,17]",0.988839610328866,0.968615226284427,1.00826257676773,37,17,6,10,none,15
"fut.lambda[37,18]",0.989052187728324,0.967593475723783,1.00935510948652,37,18,6,10,none,5
"fut.lambda[37,16]",0.989234958313012,0.96849506367124,1.00860022955393,37,16,6,10,none,10
"fut.lambda[27,16]",0.990124808387361,0.969339134948108,1.00869688966639,27,16,2,30,none,10
"fut.lambda[40,17]",0.990203324043433,0.969652304231689,1.00968830451631,40,17,7,10,none,15
"fut.lambda[27,18]",0.990261236168914,0.969446247667768,1.00837465006656,27,18,2,30,none,5
"fut.lambda[29,16]",0.990293886393848,0.968912287865682,1.00802786166802,29,16,3,20,none,10
"fut.lambda[40,18]",0.990352433002209,0.96842893672326,1.01008331782345,40,18,7,10,none,5
