parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[3,17]",1.06533738137241,1.01489362493604,1.10478613966027,3,17,0,30,none,15
"fut.lambda[1,16]",1.06554130652442,1.01536694321659,1.10512250300046,1,16,0,10,none,10
"fut.lambda[3,16]",1.06556120554295,1.01410224771153,1.103864620001,3,16,0,30,none,10
"fut.lambda[1,17]",1.06561615025053,1.0126229755608,1.10309617547904,1,17,0,10,none,15
"fut.lambda[2,17]",1.06589756065021,1.01350681548858,1.10417728347073,2,17,0,20,none,15
"fut.lambda[1,18]",1.06601504649375,1.01594811460957,1.10458827987543,1,18,0,10,none,5
"fut.lambda[2,18]",1.06613748454967,1.01530104989059,1.10416692612713,2,18,0,20,none,5
"fut.lambda[3,18]",1.06649597077754,1.01334271222791,1.10587868391394,3,18,0,30,none,5
"fut.lambda[4,18]",1.06655067336808,1.01477262835046,1.105087974825,4,18,1,10,none,5
"fut.lambda[2,16]",1.06657273910191,1.01494450656235,1.1042501466989,2,16,0,20,none,10
"fut.lambda[4,16]",1.06687830979218,1.01263505383207,1.10566862801001,4,16,1,10,none,10
"fut.lambda[25,18]",1.06705236627057,1.01446360880799,1.10595182779809,25,18,2,10,none,5
"fut.lambda[5,17]",1.06707312111931,1.01409466964181,1.10473544329867,5,17,1,20,none,15
"fut.lambda[25,17]",1.06713646853059,1.01478567656543,1.10697276537264,25,17,2,10,none,15
"fut.lambda[6,17]",1.06720580743419,1.01582578159866,1.10618785419473,6,17,1,30,none,15
"fut.lambda[4,17]",1.06733135377755,1.01385220077404,1.10515818558541,4,17,1,10,none,15
"fut.lambda[6,18]",1.06747918208311,1.01285375586976,1.10605576530611,6,18,1,30,none,5
"fut.lambda[5,16]",1.06757068700903,1.01366696136058,1.10478348187445,5,16,1,20,none,10
"fut.lambda[5,18]",1.06795544885835,1.01747367951934,1.10539530659558,5,18,1,20,none,5
"fut.lambda[6,16]",1.0679567675479,1.01475035214497,1.10656555997687,6,16,1,30,none,10
"fut.lambda[25,16]",1.06809081744461,1.01365884008889,1.10594667785823,25,16,2,10,none,10
"fut.lambda[27,16]",1.06821762219602,1.01520836200335,1.10628671825719,27,16,2,30,none,10
"fut.lambda[28,18]",1.06838180414166,1.01576095906032,1.10672035007583,28,18,3,10,none,5
"fut.lambda[26,17]",1.068442037036,1.01695394932641,1.10698889568985,26,17,2,20,none,15
"fut.lambda[26,16]",1.0684815545163,1.01879497077425,1.10756643756542,26,16,2,20,none,10
"fut.lambda[26,18]",1.06857157045827,1.01774237462498,1.10675888705838,26,18,2,20,none,5
"fut.lambda[31,16]",1.0686423682788,1.01440295309106,1.10724654762515,31,16,4,10,none,10
"fut.lambda[28,17]",1.06883805514138,1.01407838277943,1.10658488996512,28,17,3,10,none,15
"fut.lambda[27,17]",1.06888444959272,1.01816637987116,1.10643483811675,27,17,2,30,none,15
"fut.lambda[27,18]",1.06903573636608,1.01730378492997,1.10679276017477,27,18,2,30,none,5
"fut.lambda[28,16]",1.06908628130483,1.01623444627625,1.10621727886565,28,16,3,10,none,10
"fut.lambda[29,17]",1.06964425776887,1.01892739593065,1.1079966246233,29,17,3,20,none,15
"fut.lambda[30,18]",1.06967135733882,1.01906734964662,1.10807786682694,30,18,3,30,none,5
"fut.lambda[31,17]",1.06972360764841,1.01576728535958,1.1073806990041,31,17,4,10,none,15
"fut.lambda[31,18]",1.06981219244035,1.01777470722142,1.10863506614869,31,18,4,10,none,5
"fut.lambda[34,17]",1.07005210809403,1.01552428118322,1.10930206094453,34,17,5,10,none,15
"fut.lambda[34,18]",1.07024580135042,1.01991192002634,1.1089616401268,34,18,5,10,none,5
"fut.lambda[29,16]",1.07025339352626,1.0173884016866,1.10843726851587,29,16,3,20,none,10
"fut.lambda[37,18]",1.07035077361647,1.01589499030985,1.10896940847452,37,18,6,10,none,5
"fut.lambda[29,18]",1.07035818012623,1.01750812472933,1.10921016496532,29,18,3,20,none,5
"fut.lambda[30,17]",1.07044416267545,1.01911911871303,1.10858505924134,30,17,3,30,none,15
"fut.lambda[34,16]",1.07059127821402,1.01649760245552,1.10978711379458,34,16,5,10,none,10
"fut.lambda[30,16]",1.07064472072126,1.01973426819683,1.10806720272681,30,16,3,30,none,10
"fut.lambda[32,17]",1.07081528067313,1.01978402656521,1.10966919332384,32,17,4,20,none,15
"fut.lambda[37,17]",1.07107836138468,1.018768616388,1.1098428310862,37,17,6,10,none,15
"fut.lambda[32,16]",1.07118777174645,1.02021705393332,1.10804837242552,32,16,4,20,none,10
"fut.lambda[32,18]",1.0712201311826,1.02092700428811,1.10944979593971,32,18,4,20,none,5
"fut.lambda[37,16]",1.07135967624402,1.01601211303028,1.11029316407584,37,16,6,10,none,10
"fut.lambda[40,16]",1.07156436050481,1.02071066964325,1.10912392876074,40,16,7,10,none,10
"fut.lambda[33,16]",1.07185784184794,1.01770293445316,1.10980149678586,33,16,4,30,none,10
"fut.lambda[33,18]",1.07187633570604,1.02362805983871,1.10864939338843,33,18,4,30,none,5
"fut.lambda[33,17]",1.07193348982185,1.01879375598189,1.10965696529621,33,17,4,30,none,15
"fut.lambda[40,18]",1.07205753822168,1.02025985305622,1.10970794945538,40,18,7,10,none,5
"fut.lambda[40,17]",1.07221684699539,1.01928323219541,1.10986854648162,40,17,7,10,none,15
"fut.lambda[35,16]",1.0724100215888,1.01936047684493,1.10990577914407,35,16,5,20,none,10
"fut.lambda[35,18]",1.07267958252529,1.02077022842461,1.10990385174797,35,18,5,20,none,5
"fut.lambda[43,18]",1.07276488932381,1.01894718823126,1.11091932864802,43,18,8,10,none,5
"fut.lambda[38,16]",1.07281313237169,1.02130228081185,1.11202657421624,38,16,6,20,none,10
"fut.lambda[43,16]",1.07281629824365,1.01930823471371,1.11022359101538,43,16,8,10,none,10
"fut.lambda[43,17]",1.07303577293394,1.01879878157687,1.11169084923255,43,17,8,10,none,15
"fut.lambda[36,17]",1.07304108650692,1.0219515395495,1.11097059577301,36,17,5,30,none,15
"fut.lambda[35,17]",1.07307602089829,1.01993180576291,1.11015608544155,35,17,5,20,none,15
"fut.lambda[46,16]",1.07308941818049,1.020600115183,1.11129566322172,46,16,9,10,none,10
"fut.lambda[38,18]",1.07309586898407,1.02255506245286,1.110812961615,38,18,6,20,none,5
"fut.lambda[36,16]",1.07321878116709,1.02322433115631,1.11059984660453,36,16,5,30,none,10
"fut.lambda[36,18]",1.07338775331233,1.02223510226386,1.11071360411349,36,18,5,30,none,5
"fut.lambda[46,18]",1.07345957884636,1.01946026016326,1.11138358866456,46,18,9,10,none,5
"fut.lambda[46,17]",1.07354933950902,1.01809429354374,1.11159500941953,46,17,9,10,none,15
"fut.lambda[38,17]",1.07355891551978,1.02091855418081,1.11164829186967,38,17,6,20,none,15
"fut.lambda[7,18]",1.07375460874521,1.01723258645948,1.11232067878833,7,18,10,10,none,5
"fut.lambda[7,17]",1.07386835916586,1.02196267821154,1.11241488727378,7,17,10,10,none,15
"fut.lambda[41,17]",1.07395569712169,1.02101426202545,1.11282092973891,41,17,7,20,none,15
"fut.lambda[10,17]",1.07403006480697,1.02288260602697,1.11394603152353,10,17,11,10,none,15
"fut.lambda[7,16]",1.07417854945875,1.02044363784493,1.11187906259638,7,16,10,10,none,10
"fut.lambda[39,16]",1.07438310868537,1.02268866982575,1.11265254948155,39,16,6,30,none,10
"fut.lambda[41,18]",1.07442067707479,1.02453385427653,1.11288434110974,41,18,7,20,none,5
"fut.lambda[39,17]",1.07447757842936,1.0224096043912,1.11104127273007,39,17,6,30,none,15
"fut.lambda[42,17]",1.07461759614326,1.0237626328263,1.11300236739728,42,17,7,30,none,15
"fut.lambda[39,18]",1.07465327014911,1.02108217734733,1.11276457177973,39,18,6,30,none,5
"fut.lambda[10,18]",1.07467867612492,1.01974343328012,1.11394705185705,10,18,11,10,none,5
"fut.lambda[41,16]",1.07470562888429,1.02080943886999,1.11252055048991,41,16,7,20,none,10
"fut.lambda[16,18]",1.07520541452613,1.01873504057705,1.11484616997733,16,18,13,10,none,5
"fut.lambda[13,16]",1.07542108455056,1.02085405521529,1.11519925785112,13,16,12,10,none,10
"fut.lambda[10,16]",1.07549627359905,1.02280132128998,1.11400471701122,10,16,11,10,none,10
"fut.lambda[42,18]",1.07565080992676,1.02386139524017,1.11292381863787,42,18,7,30,none,5
"fut.lambda[13,18]",1.07565645438818,1.02124820907803,1.11248214294226,13,18,12,10,none,5
"fut.lambda[13,17]",1.07585535000111,1.02222859412065,1.11440248689536,13,17,12,10,none,15
"fut.lambda[44,18]",1.07595898318933,1.02175695735782,1.1146843403214,44,18,8,20,none,5
"fut.lambda[16,17]",1.07602767926867,1.02378604806692,1.11438399443122,16,17,13,10,none,15
"fut.lambda[42,16]",1.07603883997108,1.02443263397351,1.11334528679352,42,16,7,30,none,10
"fut.lambda[44,16]",1.07628860653897,1.02266013264546,1.11248359325536,44,16,8,20,none,10
"fut.lambda[16,16]",1.07657156849418,1.02323760616358,1.11483152058544,16,16,13,10,none,10
"fut.lambda[44,17]",1.07668191565127,1.02388391664572,1.11296679319825,44,17,8,20,none,15
"fut.lambda[45,16]",1.07668315374209,1.02972355303749,1.11406573166556,45,16,8,30,none,10
"fut.lambda[47,17]",1.07670131517853,1.02609339202832,1.11415933064659,47,17,9,20,none,15
"fut.lambda[45,17]",1.07675648935222,1.0252933639935,1.11441170365815,45,17,8,30,none,15
"fut.lambda[19,16]",1.07677809428744,1.0219604995599,1.11632158013689,19,16,14,10,none,10
"fut.lambda[48,17]",1.07690860816567,1.02649198019182,1.11477181210169,48,17,9,30,none,15
"fut.lambda[47,16]",1.07703898864752,1.02320525017309,1.11396467952808,47,16,9,20,none,10
"fut.lambda[19,17]",1.07705173380743,1.02345336551477,1.11619256195946,19,17,14,10,none,15
"fut.lambda[47,18]",1.07728740619346,1.02434768603762,1.11408651511791,47,18,9,20,none,5
"fut.lambda[22,18]",1.07731643855561,1.02282355286078,1.11634387676756,22,18,15,10,none,5
"fut.lambda[45,18]",1.07738612887916,1.02568789095399,1.1139651899793,45,18,8,30,none,5
"fut.lambda[19,18]",1.07751674888677,1.02295689550358,1.11486427609038,19,18,14,10,none,5
"fut.lambda[22,17]",1.07757209389194,1.02234928826151,1.11512103482497,22,17,15,10,none,15
"fut.lambda[48,18]",1.07764405936019,1.02712033908867,1.11607574429463,48,18,9,30,none,5
"fut.lambda[22,16]",1.07776971768202,1.02360697191415,1.11548608760517,22,16,15,10,none,10
"fut.lambda[8,18]",1.07782663452754,1.02480817939963,1.11506847089957,8,18,10,20,none,5
"fut.lambda[8,17]",1.07800045206438,1.02734084508559,1.11451508494098,8,17,10,20,none,15
