parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[2,16]",0.98249621699238,0.958472921994813,1.00358782231321,2,16,0,20,none,10
"fut.lambda[1,16]",0.982623853675589,0.96016828129161,1.00294092648386,1,16,0,10,none,10
"fut.lambda[2,18]",0.982635765580295,0.960165198347878,1.00339003623174,2,18,0,20,none,5
"fut.lambda[1,18]",0.982725771518473,0.958184836553649,1.00413571189093,1,18,0,10,none,5
"fut.lambda[1,17]",0.982810122482511,0.958027268232374,1.00256099589544,1,17,0,10,none,15
"fut.lambda[3,16]",0.982824764362516,0.959038668577298,1.00308127899614,3,16,0,30,none,10
"fut.lambda[3,17]",0.983001247229107,0.958906937946549,1.00451111629409,3,17,0,30,none,15
"fut.lambda[2,17]",0.983037826212825,0.95945170419195,1.00367607718874,2,17,0,20,none,15
"fut.lambda[3,18]",0.983366019125782,0.959026603276905,1.00388822670193,3,18,0,30,none,5
"fut.lambda[4,18]",0.983956389143576,0.958698853962703,1.00418591628049,4,18,1,10,none,5
"fut.lambda[4,17]",0.984469751281058,0.960179097844022,1.00470204158835,4,17,1,10,none,15
"fut.lambda[4,16]",0.984600621851061,0.959372507647036,1.00640386377016,4,16,1,10,none,10
"fut.lambda[25,18]",0.984787396392109,0.961836175972064,1.0060048238362,25,18,2,10,none,5
"fut.lambda[5,17]",0.985419607640478,0.961616446553102,1.00514088800485,5,17,1,20,none,15
"fut.lambda[25,16]",0.985556607485529,0.961545694553497,1.0054041492517,25,16,2,10,none,10
"fut.lambda[5,16]",0.98560265598934,0.962528832114028,1.00590016170919,5,16,1,20,none,10
"fut.lambda[25,17]",0.985663062175315,0.960365508455613,1.0061924716688,25,17,2,10,none,15
"fut.lambda[5,18]",0.985827484224614,0.96439393295793,1.00516642125189,5,18,1,20,none,5
"fut.lambda[28,17]",0.986292633212642,0.961438557414246,1.00585770673568,28,17,3,10,none,15
"fut.lambda[6,16]",0.986493777211943,0.965217500923702,1.00705161234565,6,16,1,30,none,10
"fut.lambda[6,17]",0.986682396423502,0.962859707831861,1.00680116876714,6,17,1,30,none,15
"fut.lambda[28,18]",0.986851383383804,0.962525550724975,1.00680273820132,28,18,3,10,none,5
"fut.lambda[28,16]",0.987104093932878,0.963337403765029,1.00641224950918,28,16,3,10,none,10
"fut.lambda[6,18]",0.987264827774903,0.963299480375347,1.00652808026728,6,18,1,30,none,5
"fut.lambda[31,18]",0.98817693800663,0.963835728804962,1.00921312574931,31,18,4,10,none,5
"fut.lambda[31,17]",0.988274236780121,0.966945647160431,1.00718103372237,31,17,4,10,none,15
"fut.lambda[31,16]",0.988409276801262,0.965818287354279,1.00854243910683,31,16,4,10,none,10
"fut.lambda[26,16]",0.988599946464768,0.9663125327737,1.00545978859467,26,16,2,20,none,10
"fut.lambda[26,18]",0.988796584235982,0.96792206178176,1.00885295933523,26,18,2,20,none,5
"fut.lambda[34,18]",0.988809533096721,0.966031327858337,1.00814971158398,34,18,5,10,none,5
"fut.lambda[26,17]",0.989007008538092,0.965173719100985,1.00652517587217,26,17,2,20,none,15
"fut.lambda[34,16]",0.98908786810776,0.965027015146898,1.00971566469654,34,16,5,10,none,10
"fut.lambda[34,17]",0.989198032446547,0.967140069610526,1.0092841092034,34,17,5,10,none,15
"fut.lambda[37,17]",0.99001476638554,0.965735082907316,1.01055116711029,37,17,6,10,none,15
"fut.lambda[37,18]",0.990052380706139,0.966852650032564,1.00964505247499,37,18,6,10,none,5
"fut.lambda[37,16]",0.990602966071428,0.968759689821093,1.01037265706054,37,16,6,10,none,10
"fut.lambda[27,16]",0.991003318578571,0.968841246409649,1.01051329642699,27,16,2,30,none,10
"fut.lambda[40,16]",0.991098600537514,0.967267002781479,1.01032529041468,40,16,7,10,none,10
"fut.lambda[27,17]",0.991289946045127,0.968193505872767,1.00965322772099,27,17,2,30,none,15
"fut.lambda[40,18]",0.991455481219186,0.967699870437112,1.01173074589715,40,18,7,10,none,5
"fut.lambda[29,16]",0.991513484854653,0.968038794139864,1.00902937041313,29,16,3,20,none,10
"fut.lambda[29,17]",0.991535626683621,0.969049087645907,1.01106368905392,29,17,3,20,none,15
"fut.lambda[29,18]",0.991758042648127,0.9677158533932,1.01163617503162,29,18,3,20,none,5
"fut.lambda[40,17]",0.991798961108622,0.96786846709209,1.01174822727235,40,17,7,10,none,15
"fut.lambda[27,18]",0.991801273659188,0.970622504317456,1.00896851306388,27,18,2,30,none,5
"fut.lambda[43,17]",0.992235095893848,0.968854538447649,1.0109713338874,43,17,8,10,none,15
